workerid,block_number,predicate,crit_noun,noun,class,other_noun,wrongs,nounclass,speaker_order,qud,response_other,response,block,slide_number
0,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.45,0.56,"""cover_stories""",3
0,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""are""",0.68,0.42,"""cover_stories""",4
0,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""who""",0.22,0.5,"""cover_stories""",5
0,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""who""",0.7,0.53,"""cover_stories""",6
0,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.42,"""priors""",8
0,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",9
0,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",10
0,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",11
0,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",12
0,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",13
0,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",14
0,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",15
1,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.47,0.61,"""cover_stories""",3
1,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.48,0.8,"""cover_stories""",4
1,"""1""","""rational""","""women""",NA,NA,"""men""",0,"""gender""","""female/male""","""who""",0.53,0.74,"""cover_stories""",5
1,"""1""","""competent""","""Republicans""",NA,NA,"""Democrats""",0,"""political_party""","""female/male""","""who""",0.5,0.79,"""cover_stories""",6
1,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",8
1,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.72,"""priors""",9
1,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.91,"""priors""",10
1,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.11,"""priors""",11
1,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0,"""priors""",12
1,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.27,"""priors""",13
1,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.52,"""priors""",14
1,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.74,"""priors""",15
2,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""female/male""","""are""",0.36,0.61,"""cover_stories""",3
2,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""male/female""","""who""",0.77,0.69,"""cover_stories""",4
2,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.73,0.49,"""cover_stories""",5
2,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",1,"""political_party""","""female/male""","""who""",0.47,0.69,"""cover_stories""",6
2,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.72,"""priors""",8
2,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.9,"""priors""",9
2,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.65,"""priors""",10
