workerid,block_number,predicate,crit_noun,noun,class,other_noun,wrongs,nounclass,speaker_order,qud,response_other,response,block,slide_number,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""1""","""competent""","""Democrats""",NA,NA,"""Republicans""",0,"""political_party""","""female/male""","""are""",0.45,0.56,"""cover_stories""",3,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""1""","""rational""","""men""",NA,NA,"""women""",0,"""gender""","""female/male""","""are""",0.68,0.42,"""cover_stories""",4,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""female/male""","""who""",0.22,0.5,"""cover_stories""",5,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""who""",0.7,0.53,"""cover_stories""",6,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""polite""",NA,"""people in their 20&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.42,"""priors""",8,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""competent""",NA,"""Republicans""","""NA""",NA,NA,NA,NA,NA,NA,0.53,"""priors""",9,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""polite""",NA,"""people in their 50&quotechars""","""NA""",NA,NA,NA,NA,NA,NA,0.7,"""priors""",10,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""smart""",NA,"""Europeans""","""NA""",NA,NA,NA,NA,NA,NA,0.5,"""priors""",11,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""competent""",NA,"""Democrats""","""NA""",NA,NA,NA,NA,NA,NA,0.54,"""priors""",12,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""rational""",NA,"""women""","""NA""",NA,NA,NA,NA,NA,NA,0.49,"""priors""",13,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""smart""",NA,"""Americans""","""NA""",NA,NA,NA,NA,NA,NA,0.63,"""priors""",14,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
0,"""2""","""rational""",NA,"""men""","""NA""",NA,NA,NA,NA,NA,NA,0.57,"""priors""",15,"""English""","""1""","""Female""","""22""","""""","""Yes""","""2""","""Windows""",1080,1920,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3QRYMNZ7FZSZUHO5NI2EQD2BJKENTU""",0,"""Submitted""","""Wed May 16 00:50:57 PDT 2018""","""Tue May 15 08:09:16 PDT 2018""","""Tue May 15 08:10:57 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""0.7381666666666666"""
1,"""1""","""smart""","""Europeans""",NA,NA,"""Americans""",0,"""nationality""","""male/female""","""are""",0.47,0.61,"""cover_stories""",3,"""English""","""2""","""Female""","""31""","""Yes""","""Yes""","""2""","""Windows""",768,1360,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3E13VNJ1NO667W15OJ5CFZNZ52T1IJ""",1,"""Submitted""","""Wed May 16 00:51:10 PDT 2018""","""Tue May 15 08:09:18 PDT 2018""","""Tue May 15 08:11:10 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8270833333333334"""
1,"""1""","""polite""","""People in their 50&quotechars""",NA,NA,"""People in their 20&quotechars""",0,"""age""","""male/female""","""are""",0.48,0.8,"""cover_stories""",4,"""English""","""2""","""Female""","""31""","""Yes""","""Yes""","""2""","""Windows""",768,1360,"""Chrome""","""3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""36U2DYYLU9W5MTQKCJZVRINHZTVDE6""","""Language study""","""A 5-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$1.00""","""Tue May 15 08:09:02 PDT 2018""","""160""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Thu Jun 14 08:09:02 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3UAU495MII3TPV5CY0NZLESUZ4QOUF""","""3E13VNJ1NO667W15OJ5CFZNZ52T1IJ""",1,"""Submitted""","""Wed May 16 00:51:10 PDT 2018""","""Tue May 15 08:09:18 PDT 2018""","""Tue May 15 08:11:10 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8270833333333334"""
