date,workerid,amount
Tue May 15 08:10:57 PDT 2018,A2QMHQXR8K4VJ2,1.0
Tue May 15 08:11:10 PDT 2018,AF8KEA2127EAN,1.0
Tue May 15 08:11:21 PDT 2018,AOTCPS24JM5DQ,1.0
Tue May 15 08:11:37 PDT 2018,A2WWYVKGZZXBOB,1.0
Tue May 15 08:11:38 PDT 2018,A1K0S514CEY1UG,1.0
Tue May 15 08:11:41 PDT 2018,ARL942ATWSOZE,1.0
Tue May 15 08:11:43 PDT 2018,A2W2V66VVLL73O,1.0
Tue May 15 08:11:56 PDT 2018,A3RU7ANMLXJQF6,1.0
Tue May 15 08:12:15 PDT 2018,A2A4DJKCY4T6N5,1.0
Tue May 15 08:12:16 PDT 2018,A3PTO0DMF57GDG,1.0
Tue May 15 08:12:17 PDT 2018,AV7UX8QQXABSK,1.0
Tue May 15 08:12:32 PDT 2018,A2XFO0X6RCS98M,1.0
Tue May 15 08:12:36 PDT 2018,A1ICXZVLIZM6IF,1.0
Tue May 15 08:12:39 PDT 2018,A32QBXDPHHSTOD,1.0
Tue May 15 08:12:40 PDT 2018,A1F4N58CAX8IMK,1.0
Tue May 15 08:12:46 PDT 2018,A1F1A2FXG1I6ZY,1.0
Tue May 15 08:12:48 PDT 2018,AAYL7UAXO9E4T,1.0
Tue May 15 08:12:55 PDT 2018,A3HZFB2JLF3JMY,1.0
Tue May 15 08:12:56 PDT 2018,AXKTYKCT9NGHS,1.0
Tue May 15 08:12:56 PDT 2018,A1DBPM1UHEP4MU,1.0
Tue May 15 08:12:56 PDT 2018,AEOFJWOEXF94U,1.0
Tue May 15 08:12:56 PDT 2018,A3HERCSO8ZBV20,1.0
Tue May 15 08:12:57 PDT 2018,A3HNEYFOIJWPH1,1.0
Tue May 15 08:13:02 PDT 2018,AE3ZOTZGH91EN,1.0
Tue May 15 08:13:08 PDT 2018,A32FIOOQE8U98U,1.0
Tue May 15 08:13:12 PDT 2018,A2XVL0RNQMWI17,1.0
Tue May 15 08:13:14 PDT 2018,A2Y4RX286ZR5PX,1.0
Tue May 15 08:13:27 PDT 2018,A1967FI5GJEZN8,1.0
Tue May 15 08:13:30 PDT 2018,A1NGABF082HR2P,1.0
Tue May 15 08:13:35 PDT 2018,A2BMWUWMAFOX6R,1.0
Tue May 15 08:13:39 PDT 2018,ARLGZWN6W91WD,1.0
Tue May 15 08:13:50 PDT 2018,A31DZOQROTKN11,1.0
Tue May 15 08:13:51 PDT 2018,A1F34ZP6YNI98F,1.0
Tue May 15 08:14:00 PDT 2018,ANVAFB99K5RKP,1.0
Tue May 15 08:14:06 PDT 2018,A4HNS81WU3KY1,1.0
Tue May 15 08:14:06 PDT 2018,A3QH4NEUUO81CX,1.0
Tue May 15 08:14:10 PDT 2018,A1ZTSCPETU3UJW,1.0
Tue May 15 08:14:14 PDT 2018,A1H7977WNPO2UI,1.0
Tue May 15 08:14:15 PDT 2018,A1KYILRX3BK5EX,1.0
Tue May 15 08:14:19 PDT 2018,A3BDVHNMJECSKG,1.0
