workerid,scenario,response,block,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""add kale to a breakfast smoothie""",0.54,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""eat a salad for dinner""",0.93,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""enroll in a pottery class""",0.55,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""buy a pair of sandals at the mall""",0.51,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""sing a ballad at karaoke""",0.56,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""swim freestyle in the pool""",0.51,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""have a mojito at the bar""",0.51,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""play Twister at game night""",0.52,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""lift weights at the gym""",0.15,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
0,"""cook a salmon filet for dinner""",0.45,"""stim_norming""","""English""","""1""","""Male""","""28""","""Yes""","""Yes""","""3""","""Windows""",1080,2560,"""Chrome""","""38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 11:33:52 PDT 2018""","""25""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 11:33:52 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=38O9DZ0A62YUGDQ6FKRZYVBBXF362M""","""3IAEQB9FMFVI0M1MTTTMHSXGHNTDWP""",0,"""Submitted""","""Fri Aug 31 04:16:16 PDT 2018""","""Thu Aug 30 11:34:17 PDT 2018""","""Thu Aug 30 11:36:16 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.4772"""
