workerid,scenario,response,block,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid.1,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""go to the gym after work""",0.22,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""eat cereal for breakfast""",0.89,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""enroll in a pottery class""",0.23,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""send a fruit basket as an engagement gift""",0.8,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""wear shoes before leaving the house in the morning""",0.85,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""plant tomatoes in the yard""",0.89,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""speak to one&quotechars partner over the phone""",0.63,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""swim freestyle in the pool""",0.89,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""cook a salmon filet for dinner""",0.95,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""grab a coffee at the gas station""",0.86,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""be born in New York""",0.01,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""have a mojito at the bar""",0.82,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""travel to San Francisco""",0.71,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""buy a necklace as a Mother&quotechars Day gift""",0.21,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""buy a pair of sandals at the mall""",0.97,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
0,"""watch Bob&quotechars Burgers on television""",0.89,"""stim_norming""","""English""","""2""","""Male""","""42""","""Yes.""","""Yes""","""3""","""Windows""",1080,1920,"""Chrome""","""3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3J3XIOMSTSMN3ERCWQ1RXQ1QXXE0IU""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.70""","""Fri Aug 31 11:34:08 PDT 2018""","""6""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sun Sep 30 11:34:08 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=3AC6MFV69KT0JDDZ0ARHIXA8R4UHZM""","""3PWWM24LHT9K7B7OY1TZ7T3Q2UI82N""",0,"""Submitted""","""Sat Sep 01 04:22:21 PDT 2018""","""Fri Aug 31 11:34:17 PDT 2018""","""Fri Aug 31 11:42:21 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""4.459366666666667"""
