workerid,scenario,response,block,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,"""travel to San Francisco""",0.66,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""add kale to a breakfast smoothie""",0.94,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""have a mojito at the bar""",0.73,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""buy a necklace as a Mother&quotechars Day gift""",0.08,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""go to the gym after work""",0.15,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""eat a salad for dinner""",0.68,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""speak to one&quotechars partner over the phone""",0.01,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""grab a coffee at the gas station""",0.62,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""sing a ballad at karaoke""",0.83,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
0,"""get a lipstick at Sephora""",0.49,"""stim_norming""","""English""","""2""","""Male""","""28""","""yes""","""Yes""","""3""","""Windows""",1080,1920,"""Firefox""","""33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3NQ8A4S0YCA7AUWBUPS20NBLO6J060""","""Language study""","""A 3-minute study where you respond to sentences.""","""language experiment study communication stanford fun cognitive science""","""$0.50""","""Thu Aug 30 09:42:19 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""1800""","""60000""","""Sat Sep 29 09:42:19 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=33P2GD6NRN35UIED09O7VIMVNTYKHG""","""3DI28L7YXBPURRZJS0FLUKP7LMB1EX""",0,"""Submitted""","""Fri Aug 31 02:25:04 PDT 2018""","""Thu Aug 30 09:42:28 PDT 2018""","""Thu Aug 30 09:45:04 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""1.8339833333333333"""
