"","Mean_Prior","YMin_Prior","YMax_Prior","topic","Scenario"
"1",0.688,0.57079,0.80241,"ice cream","have ice cream for dessert"
"2",0.6052,0.4672,0.74485,"partner","speak to one&quotechars partner over the phone"
"3",0.5756,0.46477,0.67601,"perfume","give a perfume as a birthday gift"
"4",0.5708,0.45119,0.69961,"cereal","eat cereal for breakfast"
"5",0.5388,0.41956,0.64082,"San Francisco","travel to San Francisco"
"6",0.5272,0.42234,0.63124,"pottery","enroll in a pottery class"
"7",0.4708,0.37238,0.58325,"necklace","buy a necklace as a Mother&quotechars Day gift"
"8",0.4164,0.31399,0.51444,"fruit basket","send a fruit basket as an engagement gift"
"9",0.4024,0.284,0.5156,"gym","go to the gym after work"
"10",0.3896,0.25678,0.52321,"Bob's Burgers","watch Bob&quotechars Burgers on television"
"11",0.3856,0.28675,0.48961,"tulips","purchase tulips as a housewarming gift"
"12",0.3688,0.27152,0.4668,"ballad","sing a ballad at karaoke"
"13",0.3536,0.25951,0.45564,"freestyle","swim freestyle in the pool"
"14",0.3432,0.26079,0.43961,"gas station","grab a coffee at the gas station"
"15",0.34,0.2432,0.4392,"mojito","have a mojito at the bar"
"16",0.3204,0.2168,0.42924,"Twister","play Twister at game night"
"17",0.3148,0.214,0.41765,"weights","lift weights at the gym"
"18",0.2836,0.2084,0.35484,"sandals","buy a pair of sandals at the mall"
"19",0.282,0.208,0.36884,"lipstick","get a lipstick at Sephora"
"20",0.2764,0.18157,0.3956,"salmon","cook a salmon filet for dinner"
"21",0.2644,0.1664,0.37206,"succulent","get a succulent to decorate one&quotechars bedroom"
"22",0.2588,0.18119,0.34363,"salad","eat a salad for dinner"
"23",0.2584,0.18636,0.34204,"tomatoes","plant tomatoes in the yard"
"24",0.192,0.12798,0.25842,"bell peppers","put bell peppers on a pizza"
"25",0.1252,0.07039,0.18801,"kale","add kale to a breakfast smoothie"
